,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
출생아수 (천명),1007,1025,953,966,923,874,796,825,751,863,863,867,848,769,675,655,636,624,633,639,650,709,731,716,721,715,691,675,642,621,640,560,497,495,477,439,452,497,466,445,470,471,485,436,435,438,406,358,327,303,272,261,246,233,234,248,261,274,286,296,305,313,318,323,326,323,314,305,298,291,286,282,279,276,273,269,265,259,252,244,236,227,217,209,200,193,188,184,181,180,181,183,185,188,190,193,195,196,197,197,196
합계출산율,4.53,4.54,4.12,4.07,3.77,3.43,3,2.99,2.64,2.9,2.82,2.57,2.39,2.06,1.74,1.66,1.58,1.53,1.55,1.56,1.57,1.71,1.76,1.65,1.66,1.63,1.57,1.54,1.46,1.43,1.48,1.31,1.18,1.19,1.16,1.09,1.13,1.26,1.19,1.15,1.23,1.24,1.3,1.19,1.21,1.24,1.17,1.05,0.98,0.92,0.84,0.82,0.77,0.73,0.7,0.74,0.78,0.83,0.87,0.91,0.96,1,1.04,1.09,1.13,1.18,1.18,1.18,1.18,1.19,1.19,1.19,1.2,1.2,1.2,1.2,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21
